,Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume,Year
0,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,2613.845506,2007
1,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,2513.025824,2008
2,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,2421.088595,2009
3,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,2422.128432,2010
4,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,2439.33622,2011
5,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,2350.706878,2012
6,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,2334.371075,2013
7,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,2411.08918,2014
8,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,2514.830016,2015
9,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,2541.507631,2016
10,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,2693.28005,2017
11,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,2842.976953,2018
12,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,2992.020037,2019
13,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,3129.02332,2020
14,1,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,3230.097024,2021
15,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,1527.323946,2007
16,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,1560.079203,2008
17,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,1603.217792,2009
18,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,1623.818046,2010
19,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,1651.190297,2011
20,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,1687.361082,2012
21,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,1674.914394,2013
22,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,1628.408856,2014
23,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,1593.177076,2015
24,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,1511.083599,2016
25,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,1494.300042,2017
26,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,1482.403794,2018
27,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,1462.889904,2019
28,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,1475.318219,2020
29,2,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,1481.95942,2021
30,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,519.1570874,2007
31,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,498.6295535,2008
32,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,525.5636082,2009
33,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,673.0312344,2010
34,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,816.6885596,2011
35,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,908.3348745,2012
36,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,951.7625705,2013
37,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,954.5248795,2014
38,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,1041.447991,2015
39,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,1225.809768,2016
40,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,1272.608979,2017
41,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,1275.200171,2018
42,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,1245.600776,2019
43,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,1281.698565,2020
44,3,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,1314.849126,2021
45,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,2851.480547,2007
46,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,3012.87936,2008
47,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,3204.334693,2009
48,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,3432.131323,2010
49,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,3708.793219,2011
50,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,3690.16943,2012
51,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,3747.622542,2013
52,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,3705.497658,2014
53,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,3647.64655,2015
54,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,3712.059189,2016
55,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,3730.12338,2017
56,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,3811.532919,2018
57,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,3827.867144,2019
58,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,3477.529934,2020
59,4,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,3490.710758,2021
60,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,4468.82707,2007
61,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,4628.663923,2008
62,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,4895.915203,2009
63,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,5110.190402,2010
64,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,5235.445565,2011
65,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,5480.1969,2012
66,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,5627.01155,2013
67,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,5505.369141,2014
68,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,5646.076843,2015
69,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,5800.711599,2016
70,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,5894.056014,2017
71,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,6024.256409,2018
72,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,6183.858351,2019
73,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,6332.976954,2020
74,5,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,6467.912797,2021
75,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,5903.72651,2007
76,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,5939.87774,2008
77,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,5898.444737,2009
78,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,5979.117958,2010
79,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,6067.530078,2011
80,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,6275.056723,2012
81,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,2013-12-31,6244.57015,2013
82,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,2014-12-31,6221.842438,2014
83,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,2015-12-31,5966.369128,2015
84,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,2016-12-31,5739.119655,2016
85,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,2017-12-31,5948.624348,2017
86,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,2018-12-31,5893.162836,2018
87,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,2019-12-31,5968.146404,2019
88,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,2020-12-31,5947.176102,2020
89,6,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,2021-12-31,6014.875688,2021
90,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,2007-12-31,2920.166254,2007
91,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,2008-12-31,2760.164216,2008
92,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,2009-12-31,2753.55318,2009
93,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,2010-12-31,2759.889528,2010
94,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,2011-12-31,2629.618668,2011
95,7,Alcoholic Drinks,2022,1,13,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,2012-12-31,2684.18017,2012
